Stanje na računu,Trajanje računa,Istorija kredita,Svrha uzimanja,Iznos kredita,Račun za štednju,Zaposlenost,Kamata – u procentima od tekućih prihoda,Pol i bračni staus,Žirant Ko-aplikant,Prebivalište (u godinama),Imovina,Godine starosti,Plaćanje u ratama,Stan/Kuća,Postojeći kredit u ovoj banci,Vrsta posla,Izdržavani: broj lica koji zavise od prihoda aplikanta,Telefon,Radnik stranac,Odobren kredit
<0 DM,12,drugi krediti plaćani na vreme,nameštaj,7865,<100 DM,>=7 godina,4,"muško, neoženjen",nema,4,nema,53,nema,živi besplatno,1,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,1,ima,da,Ne
nema računa u ovoj banci,9,drugi krediti plaćani na vreme,muzička tehnika/televizija,1478,<100 DM,4<= <7 godina,4,"muško, neoženjen",nema,2,automobil ili drugo,22,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
<0 DM,24,drugi krediti plaćani na vreme,nameštaj,3149,<100 DM,<=1 godina,4,"muško, neoženjen",nema,1,nema,22,banka,živi besplatno,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
>= 200 DM ,36,drugi krediti plaćani na vreme,muzička tehnika/televizija,4210,<100 DM,1<= < 4 godina,4,"muško, neoženjen",nema,2,automobil ili drugo,26,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
nema računa u ovoj banci,9,drugi krediti plaćani na vreme,automobil (nov),2507,500 <= < 1000 DM,>=7 godina,2,"muško, neoženjen",nema,4,nema,51,nema,živi besplatno,1,nema zvanično obrazovanje: ima stalan posao,1,nema,da,Da
nema računa u ovoj banci,12,drugi krediti plaćani na vreme,muzička tehnika/televizija,2141,100 <= <500 DM,4<= <7 godina,3,"muško, neoženjen",nema,1,nema,35,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
0 <= <200 DM,18,drugi krediti plaćani na vreme,muzička tehnika/televizija,866,<100 DM,1<= < 4 godina,4,"muško, oženjen/udovac",žirant,2,poseduje nekretninu,25,nema,poseduje,1,nema zvanično obrazovanje: ima stalan posao,1,nema,da,Da
nema računa u ovoj banci,4,kritičan račun,muzička tehnika/televizija,1544,<100 DM,4<= <7 godina,2,"muško, neoženjen",nema,1,poseduje nekretninu,42,nema,poseduje,3,nema zvanično obrazovanje: ima stalan posao,2,nema,da,Da
<0 DM,24,drugi krediti plaćani na vreme,muzička tehnika/televizija,1823,<100 DM,nezaposlen,4,"muško, neoženjen",nema,2,automobil ili drugo,30,radnja,poseduje,1,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,2,nema,da,Ne
0 <= <200 DM,6,drugi krediti plaćani na vreme,automobil (nov),14555,nema račun za štednju,nezaposlen,1,"muško, neoženjen",nema,2,ulaganje u nekretnine/životno osiguranje,23,nema,poseduje,1,nezposlen/nema zvanično obrazovanje,1,ima,da,Ne
0 <= <200 DM,21,drugi krediti plaćani na vreme,biznis,2767,100 <= <500 DM,>=7 godina,4,"muško, razveden",nema,2,automobil ili drugo,61,banka,stanarina,2,nema zvanično obrazovanje: ima stalan posao,1,nema,da,Ne
nema računa u ovoj banci,12,kritičan račun,muzička tehnika/televizija,1291,<100 DM,1<= < 4 godina,4,"žensko, udata/razvedena",nema,2,ulaganje u nekretnine/životno osiguranje,35,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
<0 DM,30,drugi krediti plaćani na vreme,muzička tehnika/televizija,2522,<100 DM,>=7 godina,1,"muško, neoženjen",žirant,3,ulaganje u nekretnine/životno osiguranje,39,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,2,nema,da,Da
<0 DM,24,drugi krediti plaćani na vreme,automobil (nov),915,nema račun za štednju,>=7 godina,4,"žensko, udata/razvedena",nema,2,automobil ili drugo,29,banka,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
nema računa u ovoj banci,6,drugi krediti plaćani na vreme,muzička tehnika/televizija,1595,<100 DM,4<= <7 godina,3,"muško, neoženjen",nema,2,ulaganje u nekretnine/životno osiguranje,51,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,2,nema,da,Da
<0 DM,48,nema uzetih kredita,automobil (polovan),4605,<100 DM,>=7 godina,3,"muško, neoženjen",nema,4,nema,24,nema,živi besplatno,2,zaposlen i ima zvanično obrazovanje,2,nema,da,Ne
nema računa u ovoj banci,12,kritičan račun,biznis,1185,<100 DM,1<= < 4 godina,3,"žensko, udata/razvedena",nema,2,poseduje nekretninu,27,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
nema računa u ovoj banci,12,svi krediti u ovoj banci vraćeni na vreme,prekvalifikovanje,3447,500 <= < 1000 DM,1<= < 4 godina,4,"žensko, udata/razvedena",nema,3,poseduje nekretninu,35,nema,poseduje,1,nema zvanično obrazovanje: ima stalan posao,2,nema,da,Da
nema računa u ovoj banci,24,drugi krediti plaćani na vreme,biznis,1258,<100 DM,4<= <7 godina,4,"muško, neoženjen",nema,1,poseduje nekretninu,25,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
nema računa u ovoj banci,12,kritičan račun,muzička tehnika/televizija,717,<100 DM,>=7 godina,4,"muško, neoženjen",nema,4,poseduje nekretninu,52,nema,poseduje,3,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
nema računa u ovoj banci,6,nema uzetih kredita,automobil (nov),1204,100 <= <500 DM,1<= < 4 godina,4,"muško, neoženjen",nema,1,nema,35,banka,stanarina,1,zaposlen i ima zvanično obrazovanje,1,nema,ne,Da
>= 200 DM ,24,drugi krediti plaćani na vreme,nameštaj,1925,<100 DM,1<= < 4 godina,2,"muško, neoženjen",nema,2,poseduje nekretninu,26,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
nema računa u ovoj banci,18,drugi krediti plaćani na vreme,muzička tehnika/televizija,433,<100 DM,nezaposlen,3,"žensko, udata/razvedena",ko-aplikant,4,poseduje nekretninu,22,nema,stanarina,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
<0 DM,6,kritičan račun,automobil (nov),666,>= 1000 DM,4<= <7 godina,3,"žensko, udata/razvedena",nema,4,poseduje nekretninu,39,nema,poseduje,2,nema zvanično obrazovanje: ima stalan posao,1,ima,da,Da
>= 200 DM ,12,drugi krediti plaćani na vreme,nameštaj,2251,<100 DM,1<= < 4 godina,1,"žensko, udata/razvedena",nema,2,automobil ili drugo,46,nema,poseduje,1,nema zvanično obrazovanje: ima stalan posao,1,nema,da,Da
0 <= <200 DM,30,drugi krediti plaćani na vreme,automobil (nov),2150,<100 DM,1<= < 4 godina,4,"žensko, udata/razvedena",žirant,2,nema,24,banka,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
nema računa u ovoj banci,24,kašnjenje sa uplatama,nameštaj,4151,100 <= <500 DM,1<= < 4 godina,2,"muško, neoženjen",nema,3,ulaganje u nekretnine/životno osiguranje,35,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
0 <= <200 DM,9,drugi krediti plaćani na vreme,nameštaj,2030,nema račun za štednju,4<= <7 godina,2,"muško, neoženjen",nema,1,automobil ili drugo,24,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
0 <= <200 DM,60,kašnjenje sa uplatama,muzička tehnika/televizija,7418,nema račun za štednju,1<= < 4 godina,1,"muško, neoženjen",nema,1,poseduje nekretninu,27,nema,poseduje,1,nema zvanično obrazovanje: ima stalan posao,1,nema,da,Da
nema računa u ovoj banci,24,kritičan račun,muzička tehnika/televizija,2684,<100 DM,1<= < 4 godina,4,"muško, neoženjen",nema,2,poseduje nekretninu,35,nema,poseduje,2,nema zvanično obrazovanje: ima stalan posao,1,nema,da,Da
<0 DM,12,svi krediti u ovoj banci vraćeni na vreme,muzička tehnika/televizija,2149,<100 DM,1<= < 4 godina,4,"muško, razveden",nema,1,nema,29,nema,živi besplatno,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
nema računa u ovoj banci,15,drugi krediti plaćani na vreme,automobil (polovan),3812,100 <= <500 DM,<=1 godina,1,"žensko, udata/razvedena",nema,4,automobil ili drugo,23,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
nema računa u ovoj banci,11,kritičan račun,muzička tehnika/televizija,1154,100 <= <500 DM,nezaposlen,4,"žensko, udata/razvedena",nema,4,poseduje nekretninu,57,nema,poseduje,3,nema zvanično obrazovanje: ima stalan posao,1,nema,da,Da
<0 DM,12,drugi krediti plaćani na vreme,nameštaj,1657,<100 DM,1<= < 4 godina,2,"muško, neoženjen",nema,2,poseduje nekretninu,27,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
<0 DM,24,drugi krediti plaćani na vreme,muzička tehnika/televizija,1603,<100 DM,>=7 godina,4,"žensko, udata/razvedena",nema,4,automobil ili drugo,55,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
<0 DM,18,kritičan račun,automobil (nov),5302,<100 DM,>=7 godina,2,"muško, neoženjen",nema,4,nema,36,nema,živi besplatno,3,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,1,ima,da,Da
nema računa u ovoj banci,12,kritičan račun,obrazovanje,2748,<100 DM,>=7 godina,2,"žensko, udata/razvedena",nema,4,nema,57,banka,živi besplatno,3,nema zvanično obrazovanje: ima stalan posao,1,nema,da,Da
nema računa u ovoj banci,10,kritičan račun,automobil (nov),1231,<100 DM,>=7 godina,3,"muško, neoženjen",nema,4,poseduje nekretninu,32,nema,poseduje,2,nema zvanično obrazovanje: ima stalan posao,2,nema,ne,Da
0 <= <200 DM,15,drugi krediti plaćani na vreme,muzička tehnika/televizija,802,<100 DM,>=7 godina,4,"muško, neoženjen",nema,3,automobil ili drugo,37,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,2,nema,da,Ne
nema računa u ovoj banci,36,kritičan račun,biznis,6304,nema račun za štednju,>=7 godina,4,"muško, neoženjen",nema,4,poseduje nekretninu,36,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
nema računa u ovoj banci,24,drugi krediti plaćani na vreme,muzička tehnika/televizija,1533,<100 DM,<=1 godina,4,"žensko, udata/razvedena",nema,3,automobil ili drugo,38,radnja,poseduje,1,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
<0 DM,14,drugi krediti plaćani na vreme,automobil (nov),8978,<100 DM,>=7 godina,1,"muško, razveden",nema,4,ulaganje u nekretnine/životno osiguranje,45,nema,poseduje,1,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,1,ima,ne,Ne
nema računa u ovoj banci,24,drugi krediti plaćani na vreme,muzička tehnika/televizija,999,nema račun za štednju,>=7 godina,4,"muško, neoženjen",nema,2,automobil ili drugo,25,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
nema računa u ovoj banci,18,drugi krediti plaćani na vreme,automobil (nov),2662,nema račun za štednju,4<= <7 godina,4,"muško, neoženjen",nema,3,ulaganje u nekretnine/životno osiguranje,32,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,ne,Da
nema računa u ovoj banci,12,kritičan račun,nameštaj,1402,500 <= < 1000 DM,4<= <7 godina,3,"žensko, udata/razvedena",nema,4,automobil ili drugo,37,nema,stanarina,1,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
0 <= <200 DM,48,svi krediti u ovoj banci vraćeni na vreme,automobil (nov),12169,nema račun za štednju,nezaposlen,4,"muško, neoženjen",ko-aplikant,4,nema,36,nema,živi besplatno,1,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,1,ima,da,Da
0 <= <200 DM,48,drugi krediti plaćani na vreme,muzička tehnika/televizija,3060,<100 DM,4<= <7 godina,4,"muško, neoženjen",nema,4,poseduje nekretninu,28,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
<0 DM,30,drugi krediti plaćani na vreme,popravka,11998,<100 DM,<=1 godina,1,"muško, razveden",nema,1,nema,34,nema,poseduje,1,nema zvanično obrazovanje: ima stalan posao,1,ima,da,Ne
nema računa u ovoj banci,9,drugi krediti plaćani na vreme,muzička tehnika/televizija,2697,<100 DM,1<= < 4 godina,1,"muško, neoženjen",nema,2,poseduje nekretninu,32,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,2,nema,da,Da
nema računa u ovoj banci,18,kritičan račun,muzička tehnika/televizija,2404,<100 DM,1<= < 4 godina,2,"žensko, udata/razvedena",nema,2,automobil ili drugo,26,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
<0 DM,12,drugi krediti plaćani na vreme,nameštaj,1262,nema račun za štednju,>=7 godina,2,"muško, razveden",nema,4,ulaganje u nekretnine/životno osiguranje,49,nema,poseduje,1,nema zvanično obrazovanje: ima stalan posao,1,ima,da,Da
nema računa u ovoj banci,6,drugi krediti plaćani na vreme,nameštaj,4611,<100 DM,<=1 godina,1,"žensko, udata/razvedena",nema,4,ulaganje u nekretnine/životno osiguranje,32,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
nema računa u ovoj banci,24,drugi krediti plaćani na vreme,muzička tehnika/televizija,1901,100 <= <500 DM,1<= < 4 godina,4,"muško, neoženjen",nema,4,automobil ili drugo,29,nema,stanarina,1,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,1,ima,da,Da
nema računa u ovoj banci,15,kritičan račun,automobil (polovan),3368,>= 1000 DM,>=7 godina,3,"muško, neoženjen",nema,4,nema,23,nema,stanarina,2,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
nema računa u ovoj banci,12,drugi krediti plaćani na vreme,nameštaj,1574,<100 DM,1<= < 4 godina,4,"muško, neoženjen",nema,2,poseduje nekretninu,50,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
>= 200 DM ,18,svi krediti u ovoj banci vraćeni na vreme,muzička tehnika/televizija,1445,nema račun za štednju,4<= <7 godina,4,"muško, neoženjen",nema,4,automobil ili drugo,49,banka,poseduje,1,nema zvanično obrazovanje: ima stalan posao,1,nema,da,Da
nema računa u ovoj banci,15,kritičan račun,nameštaj,1520,nema račun za štednju,>=7 godina,4,"muško, neoženjen",nema,4,ulaganje u nekretnine/životno osiguranje,63,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
0 <= <200 DM,24,kritičan račun,automobil (nov),3878,100 <= <500 DM,<=1 godina,4,"muško, razveden",nema,2,automobil ili drugo,37,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
<0 DM,47,drugi krediti plaćani na vreme,automobil (nov),10722,<100 DM,<=1 godina,1,"žensko, udata/razvedena",nema,1,poseduje nekretninu,35,nema,poseduje,1,nema zvanično obrazovanje: ima stalan posao,1,ima,da,Da
<0 DM,48,drugi krediti plaćani na vreme,automobil (polovan),4788,<100 DM,4<= <7 godina,4,"muško, neoženjen",nema,3,ulaganje u nekretnine/životno osiguranje,26,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,2,nema,da,Da
0 <= <200 DM,48,kašnjenje sa uplatama,ostalo,7582,100 <= <500 DM,nezaposlen,2,"muško, neoženjen",nema,4,nema,31,nema,živi besplatno,1,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,1,ima,da,Da
0 <= <200 DM,12,drugi krediti plaćani na vreme,muzička tehnika/televizija,1092,<100 DM,1<= < 4 godina,4,"žensko, udata/razvedena",žirant,4,poseduje nekretninu,49,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
<0 DM,24,kašnjenje sa uplatama,muzička tehnika/televizija,1024,<100 DM,<=1 godina,4,"muško, oženjen/udovac",nema,4,poseduje nekretninu,48,radnja,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
nema računa u ovoj banci,12,drugi krediti plaćani na vreme,biznis,1076,<100 DM,1<= < 4 godina,2,"muško, oženjen/udovac",nema,2,poseduje nekretninu,26,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,ima,ne,Da
0 <= <200 DM,36,drugi krediti plaćani na vreme,automobil (polovan),9398,<100 DM,<=1 godina,1,"muško, oženjen/udovac",nema,4,automobil ili drugo,28,nema,stanarina,1,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,1,ima,da,Ne
<0 DM,24,kritičan račun,automobil (polovan),6419,<100 DM,>=7 godina,2,"žensko, udata/razvedena",nema,4,nema,44,nema,živi besplatno,2,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,2,ima,da,Da
>= 200 DM ,42,kritičan račun,automobil (polovan),4796,<100 DM,>=7 godina,4,"muško, neoženjen",nema,4,nema,56,nema,živi besplatno,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
nema računa u ovoj banci,48,kritičan račun,biznis,7629,nema račun za štednju,>=7 godina,4,"muško, razveden",nema,2,automobil ili drugo,46,banka,poseduje,2,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,2,nema,da,Da
0 <= <200 DM,48,drugi krediti plaćani na vreme,nameštaj,9960,<100 DM,<=1 godina,1,"žensko, udata/razvedena",nema,2,automobil ili drugo,26,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,ima,da,Ne
nema računa u ovoj banci,12,drugi krediti plaćani na vreme,automobil (polovan),4675,nema račun za štednju,<=1 godina,1,"žensko, udata/razvedena",nema,4,automobil ili drugo,20,nema,stanarina,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
nema računa u ovoj banci,10,drugi krediti plaćani na vreme,automobil (nov),1287,nema račun za štednju,>=7 godina,4,"muško, neoženjen",ko-aplikant,2,ulaganje u nekretnine/životno osiguranje,45,nema,poseduje,1,nema zvanično obrazovanje: ima stalan posao,1,nema,ne,Da
nema računa u ovoj banci,18,drugi krediti plaćani na vreme,nameštaj,2515,<100 DM,1<= < 4 godina,3,"muško, neoženjen",nema,4,poseduje nekretninu,43,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
0 <= <200 DM,21,kritičan račun,nameštaj,2745,>= 1000 DM,4<= <7 godina,3,"muško, neoženjen",nema,2,automobil ili drugo,32,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
nema računa u ovoj banci,6,drugi krediti plaćani na vreme,automobil (nov),672,<100 DM,nezaposlen,1,"žensko, udata/razvedena",nema,4,poseduje nekretninu,54,nema,poseduje,1,nezposlen/nema zvanično obrazovanje,1,ima,da,Da
0 <= <200 DM,36,nema uzetih kredita,muzička tehnika/televizija,3804,<100 DM,1<= < 4 godina,4,"žensko, udata/razvedena",nema,1,automobil ili drugo,42,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,ima,da,Ne
>= 200 DM ,24,kritičan račun,automobil (nov),1344,nema račun za štednju,4<= <7 godina,4,"muško, neoženjen",nema,2,poseduje nekretninu,37,banka,poseduje,2,nema zvanično obrazovanje: ima stalan posao,2,nema,da,Ne
<0 DM,10,kritičan račun,automobil (nov),1038,<100 DM,4<= <7 godina,4,"muško, neoženjen",ko-aplikant,3,ulaganje u nekretnine/životno osiguranje,49,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
nema računa u ovoj banci,48,kritičan račun,automobil (nov),10127,500 <= < 1000 DM,1<= < 4 godina,2,"muško, neoženjen",nema,2,nema,44,banka,živi besplatno,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
nema računa u ovoj banci,6,drugi krediti plaćani na vreme,nameštaj,1543,>= 1000 DM,1<= < 4 godina,4,"muško, razveden",nema,2,poseduje nekretninu,33,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
nema računa u ovoj banci,30,drugi krediti plaćani na vreme,automobil (polovan),4811,nema račun za štednju,4<= <7 godina,2,"žensko, udata/razvedena",nema,4,ulaganje u nekretnine/životno osiguranje,24,radnja,stanarina,1,nema zvanično obrazovanje: ima stalan posao,1,nema,da,Da
<0 DM,12,drugi krediti plaćani na vreme,muzička tehnika/televizija,727,100 <= <500 DM,<=1 godina,4,"muško, oženjen/udovac",nema,3,nema,33,nema,poseduje,1,nema zvanično obrazovanje: ima stalan posao,1,ima,da,Ne
0 <= <200 DM,8,drugi krediti plaćani na vreme,nameštaj,1237,<100 DM,1<= < 4 godina,3,"žensko, udata/razvedena",nema,4,poseduje nekretninu,24,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
0 <= <200 DM,9,drugi krediti plaćani na vreme,automobil (nov),276,<100 DM,1<= < 4 godina,4,"muško, oženjen/udovac",nema,4,poseduje nekretninu,22,nema,stanarina,1,nema zvanično obrazovanje: ima stalan posao,1,nema,da,Da
0 <= <200 DM,48,drugi krediti plaćani na vreme,ostalo,5381,nema račun za štednju,nezaposlen,3,"muško, neoženjen",nema,4,nema,40,banka,živi besplatno,1,nezposlen/nema zvanično obrazovanje,1,ima,da,Da
nema računa u ovoj banci,24,drugi krediti plaćani na vreme,nameštaj,5511,100 <= <500 DM,1<= < 4 godina,4,"muško, neoženjen",nema,1,automobil ili drugo,25,radnja,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
>= 200 DM ,24,drugi krediti plaćani na vreme,nameštaj,3749,<100 DM,<=1 godina,2,"žensko, udata/razvedena",nema,4,automobil ili drugo,26,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
0 <= <200 DM,12,drugi krediti plaćani na vreme,automobil (nov),685,<100 DM,4<= <7 godina,2,"muško, oženjen/udovac",nema,3,automobil ili drugo,25,banka,poseduje,1,nema zvanično obrazovanje: ima stalan posao,1,nema,da,Ne
>= 200 DM ,4,drugi krediti plaćani na vreme,automobil (nov),1494,nema račun za štednju,<=1 godina,1,"muško, neoženjen",nema,2,poseduje nekretninu,29,nema,poseduje,1,nema zvanično obrazovanje: ima stalan posao,2,nema,ne,Da
<0 DM,36,svi krediti u ovoj banci vraćeni na vreme,nameštaj,2746,<100 DM,>=7 godina,4,"muško, neoženjen",nema,4,automobil ili drugo,31,banka,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
<0 DM,12,drugi krediti plaćani na vreme,nameštaj,708,<100 DM,1<= < 4 godina,2,"muško, neoženjen",žirant,3,ulaganje u nekretnine/životno osiguranje,38,nema,poseduje,1,nema zvanično obrazovanje: ima stalan posao,2,nema,da,Da
0 <= <200 DM,24,drugi krediti plaćani na vreme,nameštaj,4351,nema račun za štednju,1<= < 4 godina,1,"žensko, udata/razvedena",nema,4,ulaganje u nekretnine/životno osiguranje,48,nema,poseduje,1,nema zvanično obrazovanje: ima stalan posao,1,ima,da,Da
nema računa u ovoj banci,12,kritičan račun,obrazovanje,701,<100 DM,1<= < 4 godina,4,"muško, neoženjen",nema,2,automobil ili drugo,32,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
<0 DM,15,kašnjenje sa uplatama,nameštaj,3643,<100 DM,>=7 godina,1,"žensko, udata/razvedena",nema,4,ulaganje u nekretnine/životno osiguranje,27,nema,poseduje,2,nema zvanično obrazovanje: ima stalan posao,1,nema,da,Da
0 <= <200 DM,30,kritičan račun,automobil (nov),4249,<100 DM,nezaposlen,4,"muško, oženjen/udovac",nema,2,automobil ili drugo,28,nema,poseduje,2,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,1,nema,da,Ne
<0 DM,24,drugi krediti plaćani na vreme,muzička tehnika/televizija,1938,<100 DM,<=1 godina,4,"muško, razveden",nema,3,ulaganje u nekretnine/životno osiguranje,32,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
<0 DM,24,drugi krediti plaćani na vreme,automobil (polovan),2910,<100 DM,4<= <7 godina,2,"muško, neoženjen",nema,1,nema,34,nema,živi besplatno,1,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,1,ima,da,Da
<0 DM,18,drugi krediti plaćani na vreme,nameštaj,2659,>= 1000 DM,1<= < 4 godina,4,"muško, neoženjen",nema,2,automobil ili drugo,28,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
nema računa u ovoj banci,18,kritičan račun,automobil (nov),1028,<100 DM,1<= < 4 godina,4,"žensko, udata/razvedena",nema,3,poseduje nekretninu,36,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
<0 DM,8,kritičan račun,automobil (nov),3398,<100 DM,4<= <7 godina,1,"muško, neoženjen",nema,4,poseduje nekretninu,39,nema,poseduje,2,nema zvanično obrazovanje: ima stalan posao,1,nema,ne,Da
nema računa u ovoj banci,12,kritičan račun,nameštaj,5801,nema račun za štednju,>=7 godina,2,"muško, neoženjen",nema,4,ulaganje u nekretnine/životno osiguranje,49,nema,stanarina,1,zaposlen i ima zvanično obrazovanje,1,ima,da,Da
nema računa u ovoj banci,24,drugi krediti plaćani na vreme,automobil (nov),1525,>= 1000 DM,4<= <7 godina,4,"žensko, udata/razvedena",nema,3,automobil ili drugo,34,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,2,ima,da,Da
>= 200 DM ,36,drugi krediti plaćani na vreme,muzička tehnika/televizija,4473,<100 DM,>=7 godina,4,"muško, neoženjen",nema,2,automobil ili drugo,31,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Da
0 <= <200 DM,6,drugi krediti plaćani na vreme,muzička tehnika/televizija,1068,<100 DM,>=7 godina,4,"muško, neoženjen",nema,4,automobil ili drugo,28,nema,poseduje,1,zaposlen i ima zvanično obrazovanje,2,nema,da,Da
<0 DM,24,kritičan račun,automobil (polovan),6615,<100 DM,nezaposlen,2,"muško, neoženjen",nema,4,nema,75,nema,živi besplatno,2,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,1,ima,da,Da
nema računa u ovoj banci,18,kritičan račun,obrazovanje,1864,100 <= <500 DM,1<= < 4 godina,4,"žensko, udata/razvedena",nema,2,poseduje nekretninu,30,nema,poseduje,2,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
0 <= <200 DM,60,drugi krediti plaćani na vreme,automobil (nov),7408,100 <= <500 DM,<=1 godina,4,"žensko, udata/razvedena",nema,2,ulaganje u nekretnine/životno osiguranje,24,nema,poseduje,1,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,1,nema,da,Ne
nema računa u ovoj banci,48,kritičan račun,automobil (polovan),11590,100 <= <500 DM,1<= < 4 godina,2,"žensko, udata/razvedena",nema,4,automobil ili drugo,24,banka,stanarina,2,nema zvanično obrazovanje: ima stalan posao,1,nema,da,Ne
<0 DM,24,nema uzetih kredita,nameštaj,4110,<100 DM,>=7 godina,3,"muško, neoženjen",nema,4,nema,23,banka,stanarina,2,zaposlen i ima zvanično obrazovanje,2,nema,da,Ne
<0 DM,6,kritičan račun,nameštaj,3384,<100 DM,1<= < 4 godina,1,"muško, razveden",nema,4,poseduje nekretninu,44,nema,stanarina,1,radi u menadžmentu/samo-zaposlen/visoko obrazovanje,1,ima,da,Ne
0 <= <200 DM,13,drugi krediti plaćani na vreme,muzička tehnika/televizija,2101,<100 DM,<=1 godina,2,"žensko, udata/razvedena",žirant,4,ulaganje u nekretnine/životno osiguranje,23,nema,poseduje,1,nema zvanično obrazovanje: ima stalan posao,1,nema,da,Da
<0 DM,15,drugi krediti plaćani na vreme,bela tehnika,1275,nema račun za štednju,1<= < 4 godina,4,"žensko, udata/razvedena",nema,2,automobil ili drugo,24,nema,stanarina,1,zaposlen i ima zvanično obrazovanje,1,nema,da,Ne
